Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch)
Sprint HTC Snap S511 (HTC Cedar 200),1/06/2009,2009,1627,0.062471389,0.004193611,0.263664231,0.050359712,0.089430894,0.103174603,0.156889495,0.25,0.04425914,0.010149241,0.012931034,0.308430086
Verizon HTC Ozone XV6175 (HTC Chief),1/06/2009,2009,1628,0.093722343,0.004193611,0.263664231,0.050359712,0.089430894,0.103174603,0.154160982,0.267008197,0.046504169,0.011112776,0.011853448,0.308430086
"Apple iPhone 3GS CU (Apple iPhone 2,1)",1/07/2009,2010,1629,0.124973296,0.499999488,0.299680654,0.129496403,0.089430894,0.222222222,0.151705321,0.272540984,0.039769083,0.009442648,0.016163793,0.299343766
Dopod Magic A6188 (HTC Sapphire),1/07/2009,2010,1630,0.093722343,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.133860846,0.262295082,0.04842848,0.008907351,0.012068966,0.344522968
Dopod Magic A6188w (HTC Sapphire),1/07/2009,2010,1631,0.093722343,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.133860846,0.262295082,0.04842848,0.008907351,0.012068966,0.344522968
Gigabyte GSmart S1200,1/07/2009,2010,1632,0.140598773,0.008388246,0.263664231,0.100719424,0.154471545,0.380952381,0.12414734,0.231557377,0.033996151,0.00393979,0.009159483,0.645128723
HTC Hero A6262 (HTC Hero 100),1/07/2009,2010,1633,0.140598773,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.135607094,0.258196721,0.052918538,0.009892298,0.016163793,0.344522968
HTC Touch Pro2 CDMA (HTC Rhodium 500),1/07/2009,2010,1634,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.154160982,0.267008197,0.071840924,0.017193756,0.025862069,0.538112065
LG GT500 / GT505,1/07/2009,2010,1635,0.062471389,0.004193611,0.263664231,0.09352518,0.056910569,0.182539683,0.135061392,0.237704918,0.037844772,0.008072287,0.009698276,0.281423523
MENQ EasyPC E720 / EasyPC E790,1/07/2009,2010,1636,0.062471389,0.031878203,0.266165371,0.381294964,0.284552846,0.222222222,0.564802183,0.393442623,0.166132136,0.20266364,0.159482759,0.22387683
Mio Moov M300,1/07/2009,2010,1637,0.031220435,0.016777517,0.199635034,0.129496403,0.089430894,0.103174603,0.236562074,0.121311475,0.08466966,0.020833779,0.016163793,0.17617365
Mio Moov M400,1/07/2009,2010,1638,0.031220435,0.016777517,0.199635034,0.18705036,0.154471545,0.119047619,0.329331514,0.130327869,0.079538165,0.031261375,0.019827586,0.21251893
Mio Moov M400 2GB,1/07/2009,2010,1639,0.031220435,0.031878203,0.199635034,0.18705036,0.154471545,0.119047619,0.329331514,0.130327869,0.079538165,0.031261375,0.019827586,0.21251893
Mio Spirit V505 TV,1/07/2009,2010,1640,0.062471389,0.016777517,0.299680654,0.215827338,0.154471545,0.119047619,0.379263302,0.155737705,0.063502245,0.033916451,0.034482759,0.18525997
Mio Spirit V735 TV,1/07/2009,2010,1641,0.062471389,0.016777517,0.299680654,0.381294964,0.284552846,0.222222222,0.517053206,0.231557377,0.060295061,0.059182494,0.056034483,0.22387683
Navigon 1300 / 1310,1/07/2009,2010,1642,0.031220435,0.008388246,0.187129331,0.129496403,0.089430894,0.103174603,0.241473397,0.094262295,0.069916613,0.015459392,0.013362069,0.17617365
Navigon 2310,1/07/2009,2010,1643,0.031220435,0.031878203,0.187129331,0.129496403,0.089430894,0.103174603,0.241473397,0.094262295,0.069916613,0.015459392,0.013362069,0.17617365
Navigon 3300 max / 3310 max,1/07/2009,2010,1644,0.031220435,0.031878203,0.249657844,0.18705036,0.154471545,0.119047619,0.189358799,0.286885246,0.094932649,0.03098302,0.023706897,0.21251893
Navigon 4310 max / 4350 max,1/07/2009,2010,1645,0.062471389,0.031878203,0.249657844,0.18705036,0.154471545,0.119047619,0.189358799,0.286885246,0.094932649,0.03098302,0.023706897,0.21251893
Navon N260,1/07/2009,2010,1646,0.031220435,0.001047635,0.197634121,0.129496403,0.089430894,0.103174603,0.263301501,0.139344262,0.08274535,0.025330279,0.020689655,0.17617365
Navon N470,1/07/2009,2010,1647,0.031220435,0.001047635,0.197634121,0.18705036,0.154471545,0.119047619,0.320600273,0.147540984,0.08274535,0.033445389,0.034051724,0.21251893
Navon N560,1/07/2009,2010,1648,0.031220435,0.001047635,0.197634121,0.18705036,0.154471545,0.119047619,0.347885402,0.159836066,0.069916613,0.033488213,0.03512931,0.21251893
Nokia 6720 classic,1/07/2009,2010,1649,0.062471389,0.002096294,0.299680654,0.035971223,0.056910569,0.142857143,0.105047749,0.25,0.050673509,0.005395799,0.010775862,0.345784957
Nokia N97c,1/07/2009,2010,1650,0.062471389,0.004193611,0.216642789,0.129496403,0.105691057,0.301587302,0.133151432,0.279508197,0.077934573,0.008179346,0.019396552,0.416961131
NTT DoCoMo PRO series T-01A (Toshiba Tsunagi),1/07/2009,2010,1651,0.124973296,0.008388246,0.499771896,0.172661871,0.154471545,0.380952381,0.173260573,0.327868852,0.024374599,0.009699591,0.01487069,0.463149924
O2 Xda Venn (Pantech Mustang 2),1/07/2009,2010,1652,0.062471389,0.004193611,0.263664231,0.050359712,0.056910569,0.142857143,0.121418827,0.233606557,0.099422707,0.015566452,0.019612069,0.308430086
RIM BlackBerry Tour 9630 (RIM Niagara),1/07/2009,2010,1653,0.124973296,0.004193611,0.263664231,0.050359712,0.154471545,0.142857143,0.151432469,0.258196721,0.051956382,0.011669486,0.015086207,0.494194851
RIM BlackBerry Tour 9630 without camera (RIM Niagara),1/07/2009,2010,1654,0.124973296,0.004193611,0.263664231,0.050359712,0.154471545,0.142857143,0.151432469,0.258196721,0.051956382,0.007001692,0.015086207,0.782180717
Samsung GT-C6625v,1/07/2009,2010,1655,0.062471389,0.004193611,0.196133437,0.064748201,0.089430894,0.103174603,0.154160982,0.26352459,0.037524054,0.008821703,0.010560345,0.276375568
Samsung GT-i8910 16GB / Omnia HD,1/07/2009,2010,1656,0.124973296,0.004193611,0.299680654,0.143884892,0.105691057,0.301587302,0.140518417,0.303278689,0.043617704,0.0102563,0.018103448,0.38869258
"Stuart Hughes iPhone 3GS 22ct Solid Gold (Apple iPhone 2,1)",1/07/2009,2010,1657,0.124973296,0.499999488,0.299680654,0.129496403,0.089430894,0.222222222,0.152796726,0.274590164,0.04425914,0.010748774,0.040948276,0.299343766
T-Mobile Dash 3G (HTC Maple 100),1/07/2009,2010,1658,0.093722343,0.004193611,0.263664231,0.050359712,0.089430894,0.103174603,0.150068213,0.276639344,0.037844772,0.008971586,0.012931034,0.308430086
T-Mobile G2 Touch (HTC Hero 100),1/07/2009,2010,1659,0.140598773,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.135607094,0.258196721,0.052918538,0.009892298,0.016163793,0.344522968
Telstra HTC Touch Pro2 T7381 (HTC Rhodium),1/07/2009,2010,1660,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.143792633,0.274590164,0.067671584,0.015031154,0.025538793,0.538112065
The Medical Phone iCEphone,1/07/2009,2010,1661,0.062471389,0.004193611,0.265665143,0.09352518,0.12195122,0.103174603,0.148158254,0.319672131,0.110327133,0.029077361,0.032327586,0.283947501
TMN Bluebelt (ZTE Xiang),1/07/2009,2010,1662,0.062471389,0.031878203,0.263664231,0.057553957,0.089430894,0.103174603,0.162346521,0.266393443,0.037203335,0.009721003,0.017025862,0.295053004
Toshiba TG01 (Toshiba Tsunagi),1/07/2009,2010,1663,0.124973296,0.008388246,0.499771896,0.172661871,0.154471545,0.380952381,0.173260573,0.327868852,0.024374599,0.009699591,0.01487069,0.463149924
Unitech HT680,1/07/2009,2010,1664,0.062471389,0.008388246,0.259662406,0.071942446,0.056910569,0.142857143,0.132332879,0.495901639,0.1533034,0.050617733,0.056034483,0.259464917
Dopod Hero A6288 (HTC Hero 100),1/08/2009,2010,1665,0.140598773,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.135607094,0.258196721,0.052918538,0.009892298,0.016163793,0.344522968
Dopod Touch Diamond S910 (HTC Diamond),1/08/2009,2010,1666,0.093722343,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.033675433,0.003190373,0.010775862,0.620646138
Garmin-Asus nuvifone M20 4GB,1/08/2009,2010,1667,0.062471389,0.062079576,0.263664231,0.079136691,0.154471545,0.301587302,0.125511596,0.189754098,0.042976267,0.004260968,0.008405172,0.610297829
HTC Hero A6265 (HTC Hero 130),1/08/2009,2010,1668,0.140598773,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.135607094,0.258196721,0.052918538,0.009892298,0.016163793,0.344522968
Navon N650,1/08/2009,2010,1669,0.031220435,0.001047635,0.197634121,0.237410072,0.154471545,0.119047619,0.347885402,0.159836066,0.069916613,0.033488213,0.03512931,0.166330136
Samsung GT-i8000 Omnia II M16 16GB,1/08/2009,2010,1670,0.124973296,0.008388246,0.399726275,0.143884892,0.154471545,0.380952381,0.144884038,0.282786885,0.037203335,0.008479113,0.01487069,0.524230187
Samsung GT-i8000 Omnia II M2 2GB,1/08/2009,2010,1671,0.124973296,0.008388246,0.399726275,0.143884892,0.154471545,0.380952381,0.144884038,0.282786885,0.037203335,0.008479113,0.01487069,0.524230187
T-Mobile HTC Touch Pro 2 US / Wing II (HTC Rhodium 210),1/08/2009,2010,1672,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.143792633,0.274590164,0.071520205,0.015930454,0.027586207,0.538112065
T-Mobile MDA Compact V (HTC Topaz),1/08/2009,2010,1673,0.140598773,0.008388246,0.263664231,0.107913669,0.154471545,0.380952381,0.125238745,0.249590164,0.051956382,0.008072287,0.012392241,0.626451287
T-Mobile MDA Vario V (HTC Rhodium 100),1/08/2009,2010,1674,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.143792633,0.274590164,0.071520205,0.015930454,0.025646552,0.538112065
T-Mobile myTouch 3G (HTC Sapphire 300),1/08/2009,2010,1675,0.093722343,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.134106412,0.262295082,0.04842848,0.008928763,0.012068966,0.344522968
AnyDATA ASP-705W,1/09/2009,2010,1676,0.062471389,0.004193611,0.263664231,0.079136691,0.056910569,0.142857143,0.140518417,0.217213115,0.052597819,0.00867182,0.012931034,0.249116608
Casio Cassiopeia DT-5300 M50S,1/09/2009,2010,1677,0.062471389,0.004193611,0.311686129,0.143884892,0.154471545,0.301587302,0.195088677,0.450819672,0.121231559,0.056955656,0.046336207,0.433619384
Casio Cassiopeia DT-5300 M50SC,1/09/2009,2010,1678,0.062471389,0.004193611,0.311686129,0.143884892,0.154471545,0.301587302,0.195088677,0.450819672,0.121231559,0.056955656,0.044181034,0.433619384
Casio Cassiopeia DT-5300 M52S,1/09/2009,2010,1679,0.062471389,0.004193611,0.311686129,0.143884892,0.154471545,0.301587302,0.195088677,0.450819672,0.121231559,0.056955656,0.045258621,0.433619384
Casio Cassiopeia DT-5300 M52SC,1/09/2009,2010,1680,0.062471389,0.004193611,0.311686129,0.143884892,0.154471545,0.301587302,0.195088677,0.450819672,0.121231559,0.056955656,0.046336207,0.433619384
Datalogic Mobile J Series,1/09/2009,2010,1681,0.062471389,0.008388246,0.259662406,0.129496403,0.056910569,0.142857143,0.227830832,0.520491803,0.140474663,0.161188789,0.129310345,0.17617365
Datalogic Mobile J Series Windows CE,1/09/2009,2010,1682,0.062471389,0.008388246,0.259662406,0.129496403,0.056910569,0.142857143,0.227830832,0.520491803,0.140474663,0.161188789,0.129310345,0.17617365
General Mobile DSTL1 Imaginary,1/09/2009,2010,1683,0.062471389,0.004193611,0.311686129,0.09352518,0.056910569,0.182539683,0.129604366,0.258196721,0.063502245,0.011284072,0.016163793,0.281423523
Getac PS236,1/09/2009,2010,1684,0.062471389,0.004193611,0.402727644,0.129496403,0.154471545,0.301587302,0.225102319,0.528688525,0.1533034,0.092328116,0.094827586,0.464159515
Getac PS236 WWAN,1/09/2009,2010,1685,0.062471389,0.004193611,0.402727644,0.129496403,0.154471545,0.301587302,0.225102319,0.528688525,0.1533034,0.092328116,0.094827586,0.464159515
HTC Snap CDMA (HTC Cedar),1/09/2009,2010,1686,0.062471389,0.004193611,0.263664231,0.050359712,0.089430894,0.103174603,0.145975443,0.25,0.04425914,0.008928763,0.009698276,0.308430086
Lenovo Mobile O1 / Miro O1,1/09/2009,2010,1687,0.062471389,0.249999232,0.311686129,0.129496403,0.089430894,0.222222222,0.156889495,0.274590164,0.037844772,0.013253967,0.021767241,0.507319536
Mio Moov V500,1/09/2009,2010,1688,0.031220435,0.016777517,0.299680654,0.215827338,0.154471545,0.119047619,0.379263302,0.155737705,0.075048108,0.038798364,0.036637931,0.18525997
Mio Moov V700,1/09/2009,2010,1689,0.031220435,0.016777517,0.299680654,0.381294964,0.284552846,0.222222222,0.517053206,0.231557377,0.060295061,0.059182494,0.056034483,0.22387683
Motorola MC9500-K CDMA,1/09/2009,2010,1690,0.062471389,0.008388246,0.402727644,0.143884892,0.154471545,0.301587302,0.224829468,0.756557377,0.286722258,0.216452905,0.121336207,0.433619384
Motorola MC9500-K GSM,1/09/2009,2010,1691,0.062471389,0.008388246,0.402727644,0.143884892,0.154471545,0.301587302,0.224829468,0.756557377,0.286722258,0.216452905,0.121336207,0.433619384
Nokia 5530 XpressMusic,1/09/2009,2010,1692,0.062471389,0.004193611,0.216642789,0.086330935,0.105691057,0.301587302,0.115961801,0.225409836,0.04425914,0.00473203,0.01012931,0.532811711
Nokia N86-2 8MP,1/09/2009,2010,1693,0.062471389,0.004193611,0.216642789,0.064748201,0.056910569,0.142857143,0.122510232,0.22295082,0.079538165,0.005331563,0.019181034,0.276627966
QiGi U86,1/09/2009,2010,1694,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.135061392,0.229508197,0.043617704,0.006808984,0.011853448,0.257193337
QiGi V96,1/09/2009,2010,1695,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.139154161,0.237704918,0.047466325,0.008350641,0.017241379,0.257193337
QiGi W96,1/09/2009,2010,1696,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.139154161,0.237704918,0.047466325,0.008350641,0.017241379,0.257193337
QiGi W96 B,1/09/2009,2010,1697,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.139154161,0.237704918,0.047466325,0.008350641,0.017241379,0.257193337
RoverPC Evo X8 (QiGi U86),1/09/2009,2010,1698,0.062471389,0.004193611,0.311686129,0.107913669,0.056910569,0.182539683,0.135061392,0.229508197,0.043617704,0.006808984,0.011206897,0.257193337
Sprint Touch Pro2 T7380 (HTC Rhodium W),1/09/2009,2010,1699,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.14324693,0.274590164,0.071840924,0.015909042,0.025862069,0.538112065
Stuart Hughes BlackBerry Bold 9000 Diamond,1/09/2009,2010,1700,0.062471389,0.002096294,0.311686129,0.064748201,0.154471545,0.142857143,0.162346521,0.266393443,0.057087877,0.014731388,0.017241379,0.448258455
"Stuart Hughes iPhone 3GS 18ct Soild Rose Gold Diamond (Apple iPhone 2,1)",1/09/2009,2010,1701,0.124973296,0.499999488,0.299680654,0.129496403,0.089430894,0.222222222,0.152796726,0.274590164,0.04425914,0.010748774,0.040948276,0.299343766
"Stuart Hughes iPhone 3GS Platinum & Diamond (Apple iPhone 2,1)",1/09/2009,2010,1702,0.124973296,0.499999488,0.299680654,0.129496403,0.089430894,0.222222222,0.152796726,0.274590164,0.04425914,0.010748774,0.073275862,0.299343766
Verizon Touch Pro2 XV6875 (HTC Rhodium 500),1/09/2009,2010,1703,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.154160982,0.267008197,0.071840924,0.017193756,0.024784483,0.538112065
Vodafone 360 H1,1/09/2009,2010,1704,0.124973296,0.000244755,0.299680654,0.129496403,0.154471545,0.380952381,0.140518417,0.274180328,0.043617704,0.00912147,0.015948276,0.560070671
Acer beTouch E100 (Acer C1),1/10/2009,2010,1705,0.124973296,0.008388246,0.263664231,0.107913669,0.056910569,0.182539683,0.135061392,0.262295082,0.043296985,0.007965227,0.0125,0.252650177
Acer beTouch E100 B (Acer C1),1/10/2009,2010,1706,0.124973296,0.008388246,0.263664231,0.107913669,0.056910569,0.182539683,0.135061392,0.262295082,0.043296985,0.007965227,0.0125,0.252650177
Acer beTouch E101 (Acer E1),1/10/2009,2010,1707,0.124973296,0.008388246,0.263664231,0.107913669,0.056910569,0.182539683,0.135061392,0.262295082,0.043296985,0.007965227,0.0125,0.252650177
Acer beTouch E200 (Acer L1),1/10/2009,2010,1708,0.124973296,0.008388246,0.263664231,0.09352518,0.056910569,0.182539683,0.128240109,0.25,0.059653624,0.009956534,0.018534483,0.281423523
Acer beTouch E200 B (Acer L1),1/10/2009,2010,1709,0.124973296,0.008388246,0.263664231,0.09352518,0.056910569,0.182539683,0.128240109,0.25,0.059653624,0.009956534,0.018534483,0.281423523
Acer neoTouch S200 (Acer F1),1/10/2009,2010,1710,0.124973296,0.008388246,0.499771896,0.151079137,0.154471545,0.380952381,0.154160982,0.285245902,0.037844772,0.009763827,0.015086207,0.510853104
Archos 5 Internet Tablet 160GB,1/10/2009,2010,1711,0.124973296,0.499999488,0.399726275,0.223021583,0.154471545,0.380952381,0.372987722,0.122131148,0.089159718,0.046378177,0.048706897,0.22387683
AT_T HTC Pure (HTC Topaz 210),1/10/2009,2010,1712,0.140598773,0.008388246,0.263664231,0.107913669,0.154471545,0.380952381,0.127694407,0.25,0.057087877,0.055178468,0.040948276,0.17617365
AT_T HTC Tilt2 T7377 (HTC Rhodium 300),1/10/2009,2010,1713,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.143792633,0.274590164,0.067671584,0.035929169,0.040948276,0.17617365
Casio Cassiopeia DT-5300 M30S,1/10/2009,2010,1714,0.062471389,0.004193611,0.311686129,0.143884892,0.154471545,0.301587302,0.195088677,0.450819672,0.121231559,0.057598013,0.049568966,0.433619384
Casio Cassiopeia DT-5300 M30SC,1/10/2009,2010,1715,0.062471389,0.004193611,0.311686129,0.143884892,0.154471545,0.301587302,0.195088677,0.450819672,0.121231559,0.056955656,0.046336207,0.433619384
Garmin-Asus nuvifone M20 4GB NA,1/10/2009,2010,1716,0.062471389,0.062079576,0.263664231,0.079136691,0.154471545,0.301587302,0.125511596,0.189754098,0.042976267,0.004260968,0.008405172,0.610297829
Highscreen PP5420,1/10/2009,2010,1717,0.062471389,0.004193611,0.263664231,0.09352518,0.056910569,0.182539683,0.128240109,0.266393443,0.04425914,0.007536989,0.012931034,0.281423523
HTC Snap US S522 (HTC Maple 120),1/10/2009,2010,1718,0.093722343,0.004193611,0.263664231,0.050359712,0.089430894,0.103174603,0.150068213,0.276639344,0.037844772,0.008971586,0.012931034,0.308430086
HTC Tattoo A3232 (HTC Click 100),1/10/2009,2010,1719,0.124973296,0.008388246,0.263664231,0.079136691,0.056910569,0.142857143,0.132878581,0.233606557,0.050673509,0.008093698,0.011422414,0.249116608
HTC Touch2 T3333 (HTC Mega 100),1/10/2009,2010,1720,0.124973296,0.008388246,0.263664231,0.079136691,0.056910569,0.142857143,0.132332879,0.225409836,0.043617704,0.006359335,0.010775862,0.254164563
Huawei U8230,1/10/2009,2010,1721,0.062471389,0.004193611,0.263664231,0.129496403,0.089430894,0.222222222,0.152796726,0.274590164,0.048107761,0.00473203,0.016163793,0.276375568
LG GM750 (LG Layla),1/10/2009,2010,1722,0.124973296,0.008388246,0.263664231,0.09352518,0.056910569,0.182539683,0.136425648,0.249180328,0.037203335,0.006359335,0.012931034,0.281423523
Mobile Compia MM3 MC-8000,1/10/2009,2010,1723,0.062471389,0.004193611,0.311686129,0.129496403,0.154471545,0.301587302,0.206002729,0.655737705,0.325208467,0.198980794,0.121336207,0.464159515
Nokia 5230,1/10/2009,2010,1724,0.062471389,0.004193611,0.216642789,0.107913669,0.105691057,0.301587302,0.123328786,0.254098361,0.053880693,0.008372053,0.011853448,0.469207471
Prestigio GeoVision 110,1/10/2009,2010,1725,0.031220435,0.001047635,0.185628647,0.129496403,0.089430894,0.103174603,0.252387449,0.104508197,0.041051956,0.010299124,0.013362069,0.17617365
Prestigio GeoVision 360,1/10/2009,2010,1726,0.031220435,0.016777517,0.249657844,0.129496403,0.089430894,0.103174603,0.255115962,0.110655738,0.108402822,0.027985354,0.021551724,0.17617365
Samsung GT-B7300 OmniaLITE (Samsung Buckingham),1/10/2009,2010,1727,0.124973296,0.008388246,0.399726275,0.09352518,0.12195122,0.103174603,0.123601637,0.237704918,0.043617704,0.005866861,0.010560345,0.281423523
Samsung GT-B7320 OmniaPRO,1/10/2009,2010,1728,0.124973296,0.004193611,0.263664231,0.050359712,0.089430894,0.103174603,0.145156889,0.253688525,0.041693393,0.008414877,0.008836207,0.308430086
Samsung GT-B7330 OmniaPRO,1/10/2009,2010,1729,0.124973296,0.008388246,0.263664231,0.064748201,0.089430894,0.142857143,0.14324693,0.270081967,0.03014753,0.006230863,0.01012931,0.32382635
Samsung GT-B7610 OmniaPRO (Samsung Louvre),1/10/2009,2010,1730,0.124973296,0.008388246,0.399726275,0.129496403,0.154471545,0.380952381,0.139972715,0.260655738,0.064785119,0.013125495,0.021336207,0.560070671
Samsung GT-B7620 Giorgio Armani,1/10/2009,2010,1731,0.124973296,0.008388246,0.399726275,0.129496403,0.154471545,0.380952381,0.141336971,0.284836066,0.065426555,0.014667152,0.022413793,0.560070671
Samsung GT-i7500L Galaxy,1/10/2009,2010,1732,0.093722343,0.125838031,0.263664231,0.107913669,0.089430894,0.222222222,0.135061392,0.270491803,0.037203335,0.008479113,0.011637931,0.524230187
Samsung GT-i8000L Omnia II M16 16GB,1/10/2009,2010,1733,0.124973296,0.255032794,0.399726275,0.143884892,0.154471545,0.380952381,0.144884038,0.282786885,0.037203335,0.008479113,0.01487069,0.524230187
Samsung GT-i8000U M2 2GB,1/10/2009,2010,1734,0.124973296,0.008388246,0.399726275,0.143884892,0.154471545,0.380952381,0.144884038,0.282786885,0.037203335,0.008479113,0.01487069,0.524230187
Samsung SPH-i350 Intrepid,1/10/2009,2010,1735,0.124973296,0.008388246,0.263664231,0.057553957,0.089430894,0.103174603,0.156889495,0.270081967,0.043617704,0.010877246,0.012931034,0.291771832
Sony Ericsson Satio U1i / Idou (SE Satio),1/10/2009,2010,1736,0.124973296,0.004193611,0.299680654,0.129496403,0.105691057,0.301587302,0.132332879,0.258196721,0.04425914,0.007708284,0.014224138,0.416961131
Sprint HTC Hero A6277 (HTC Hero 200),1/10/2009,2010,1737,0.140598773,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.136152797,0.263114754,0.049390635,0.009421236,0.0145625,0.344522968
Stuart Hughes iPod Touch Supreme,1/10/2009,2010,1738,0.062471389,0.499999488,0.265665143,0.129496403,0.089430894,0.222222222,0.151432469,0.25,0.025016036,0.005160268,0.036637931,0.30338213
T-Mobile Pulse (Huawei U8220),1/10/2009,2010,1739,0.093722343,0.004193611,0.263664231,0.129496403,0.089430894,0.222222222,0.152796726,0.274590164,0.048107761,0.011669486,0.016163793,0.30338213
TMN Bluebelt II,1/10/2009,2010,1740,0.124973296,0.031878203,0.263664231,0.057553957,0.089430894,0.103174603,0.162346521,0.266393443,0.037203335,0.009721003,0.017025862,0.295053004
TMN Silverbelt (ZTE Raise),1/10/2009,2010,1741,0.124973296,0.125838031,0.263664231,0.107913669,0.12195122,0.103174603,0.137789905,0.258196721,0.041051956,0.007644049,0.018534483,0.257193337
Verizon HTC Imagio XV6975 (HTC Whitestone 100),1/10/2009,2010,1742,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.150613915,0.282786885,0.050673509,0.012376079,0.019396552,0.545179202
Acer neoTouch S200 B (Acer F1),1/11/2009,2010,1743,0.124973296,0.008388246,0.499771896,0.151079137,0.154471545,0.380952381,0.154160982,0.285245902,0.037844772,0.009763827,0.015086207,0.510853104
AT_T BlackBerry Bold 9700 (RIM Onyx),1/11/2009,2010,1744,0.124973296,0.004193611,0.311686129,0.050359712,0.154471545,0.162698413,0.145975443,0.245901639,0.051314945,0.476479027,0.310344828,0.188793539
Highscreen Zeus (Geeksphone One),1/11/2009,2010,1745,0.124973296,0.008388246,0.263664231,0.107913669,0.056910569,0.182539683,0.132332879,0.25,0.057729314,0.010127829,0.013922414,0.257193337
HTC Droid Eris A6376,1/11/2009,2010,1746,0.140598773,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.135061392,0.262295082,0.04425914,0.008179346,0.012931034,0.344522968
HTC HD2 T8585 (HTC Leo 100),1/11/2009,2010,1747,0.218726157,0.008388246,0.499771896,0.18705036,0.154471545,0.380952381,0.165075034,0.293032787,0.031430404,0.00957112,0.020905172,0.436648157
LG GM730f,1/11/2009,2010,1748,0.124973296,0.008388246,0.263664231,0.09352518,0.056910569,0.182539683,0.136698499,0.249180328,0.037203335,0.006402158,0.01012931,0.281423523
Motorola Droid A855 / Tao  (Motorola Sholes),1/11/2009,2010,1749,0.124973296,0.008388246,0.299680654,0.143884892,0.154471545,0.407738095,0.145975443,0.273770492,0.048749198,0.010941481,0.023491379,0.561080262
Nokia X6 / X6-00 32GB (Nokia Alvin),1/11/2009,2010,1750,0.062471389,0.008388246,0.216592766,0.107913669,0.105691057,0.301587302,0.121418827,0.254098361,0.049390635,0.007280046,0.013362069,0.469207471
Prestigio GeoVision 3100,1/11/2009,2010,1751,0.031220435,0.008388246,0.185628647,0.129496403,0.089430894,0.103174603,0.252387449,0.104508197,0.041051956,0.010299124,0.013362069,0.17617365
Prestigio GeoVision 4100,1/11/2009,2010,1752,0.031220435,0.008388246,0.185628647,0.18705036,0.154471545,0.119047619,0.306957708,0.104508197,0.04425914,0.015245273,0.022413793,0.21251893
QiGi AK008,1/11/2009,2010,1753,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.142857143,0.14324693,0.262295082,0.057087877,0.011969253,0.012931034,0.288490661
QiGi AK008C,1/11/2009,2010,1754,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.14324693,0.262295082,0.057087877,0.011969253,0.012931034,0.252650177
QiGi AK008W,1/11/2009,2010,1755,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.14324693,0.262295082,0.057087877,0.011969253,0.012931034,0.252650177
QiGi AK008W B,1/11/2009,2010,1756,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.14324693,0.262295082,0.057087877,0.011969253,0.012931034,0.252650177
QiGi Smartbook U1000,1/11/2009,2010,1757,0.124973296,0.002096294,0.311686129,0.237410072,0.154471545,0.380952381,0.21473397,0.381967213,0.036561899,0.02117637,0.02737069,0.358909642
RIM BlackBerry Bold 9700 (RIM Onyx),1/11/2009,2010,1758,0.124973296,0.004193611,0.311686129,0.050359712,0.154471545,0.162698413,0.145975443,0.245901639,0.048107761,0.010170653,0.013362069,0.508329127
RIM BlackBerry Storm 2 9550 (RIM Odin),1/11/2009,2010,1759,0.124973296,0.004193611,0.311686129,0.115107914,0.105691057,0.222222222,0.151432469,0.260245902,0.050032072,0.011455367,0.020474138,0.351337708
Samsung GT-B7320L OmniaPRO,1/11/2009,2010,1760,0.124973296,0.004193611,0.263664231,0.050359712,0.089430894,0.103174603,0.145156889,0.253688525,0.041693393,0.008414877,0.008836207,0.308430086
